3.17	3.25
5.20	9.69
6.56	7.86
8.38	2.34
0.09	0.45
3.76	4.74
9.45	9.52
9.32	2.46
7.98	6.98
2.82	1.13
6.47	1.82
2.89	1.14
1.14	5.91
3.06	1.18
1.63	8.24
1.47	4.82
4.37	0.72
0.15	9.93
1.25	6.08
6.26	4.03
0.28	9.68
6.11	4.52
4.06	6.04
2.41	3.74
7.36	0.89
7.93	6.88
4.74	1.05
0.57	3.84
5.34	4.85
9.52	0.03
5.48	7.72
5.62	2.03
1.88	5.48
0.12	2.07
9.21	6.70
4.63	6.27
6.77	9.28
6.53	7.86
8.69	6.94
7.36	9.44
2.79	1.52
3.48	9.84
9.11	5.67
3.74	0.37
3.71	0.62
6.73	5.63
9.16	2.72
4.30	7.63
3.40	9.54
5.08	7.16
4.25	3.10
2.70	4.83
9.15	9.24
3.88	3.29
6.90	6.68
0.41	3.90
0.52	6.84
0.75	7.04
8.96	7.45
6.41	6.63
6.64	7.84
0.18	8.97
4.21	5.13
9.51	8.93
8.31	8.26
1.51	1.88
5.81	1.39
5.06	7.89
8.08	6.46
3.83	1.63
0.77	3.52
3.86	5.42
1.61	4.78
2.35	3.57
1.52	8.73
2.06	0.38
4.66	3.31
4.21	5.63
5.47	6.96
6.90	7.70
2.18	5.54
5.28	4.39
9.75	3.23
9.69	6.65
4.75	3.03
8.70	5.47
8.31	1.08
7.73	0.24
5.92	2.97
4.50	9.22
0.50	3.74
0.22	9.99
3.95	9.83
9.15	8.13
9.12	6.47
5.54	0.53
2.04	1.77
2.51	0.51
5.85	3.17
9.00	3.96
2.26	4.65
1.25	5.68
5.76	1.12
2.58	6.59
3.13	5.03
2.97	8.04
8.05	2.65
9.51	9.36
0.30	8.14
7.23	4.70
9.25	4.44
7.88	6.28
6.05	9.13
9.84	4.37
3.24	4.45
9.42	9.81
0.57	3.11
5.10	7.97
4.07	7.21
5.12	7.29
3.01	4.65
0.71	2.37
2.04	3.03
7.09	6.62
0.41	6.46
9.65	6.29
9.65	0.64
6.67	7.48
2.62	3.51
3.09	0.85
2.59	5.21
7.00	7.88
9.39	3.25
1.78	8.95
1.12	0.19
9.69	6.24
5.38	5.18
